name,bouts,KO %
MARCO EZEQUIEL GARCIA OVEJERO,7,57.1
ADAM GARLAND,26,48.1
PEDRO HENRIQUE GARLET KAPPES,2,0
DANNY GARRISON,9,33.3
GASAN GASANOV,13,38.5
ROLI GASCA,30,20
SENAD GASHI,8,62.5
MURAT GASSIEV,27,65.5
JOE GATTI,38,57.9
ARTURO GATTI,49,63.3
WALTER EZEQUIEL GAUCHEZ,4,50
ALAN FABIAN GAUNA,10,0
TERRELL GAUSHA,23,41.7
AGUSTIN MAURO GAUTO,16,68.8
JASON GAVERN,52,23.1
LEON GAVILAN,5,16.7
KID GAVILAN,143,19.6
ROBERT GEER,5,40
MARK GERAGHTY,31,6.5
MARK ANTHONY GERALDO,49,36
LORENZO GEREZ,1,100
JULIO GERVACIO,40,57.5
NOEL GEVOR,26,38.5
JOEY GIARDELLO,135,23.7
TOMMY GIBBONS,105,45.3
MIKE GIBBONS,132,28.6
ROBERTO GIGLI,16,43.8
JORDAN GILL,25,28
SERGIO DANIEL ORLANDO GIMENEZ,5,0
ROBERTO GIMENEZ,1,0
JOSE GIRONES,107,51.4
SHAKHRAM GIYASOV,8,75
RON GLADDEN,19,31.6
KRZYSZTOF GLOWACKI,33,55.9
WAYNE GODDARD,11,18.2
JERRY GOFF,20,60
NORMAN GOINS,45,43.5
GENNADY GOLOVKIN,43,83.7
CARLOS EDUARDO GOMERO,1,0
WILFREDO GOMEZ,48,87.5
JUAN CARLOS GOMEZ,59,66.7
PABLO ARIEL GOMEZ,27,3.7
PEDRO LUIS GOMEZ,3,0
MARIA DOLORES GOMEZ,3,0
ALEXIS DAMIAN GOMEZ,3,66.7
BRAIAN GOMEZ,1,0
EMMA GONGORA,3,0
CARLOS GONGORA,17,70.6
SIBONISO GONYA,8,37.5
ROBERTO GONZALES,27,55.6
MIGUEL ANGEL GONZALEZ,57,70.2
ROMAN GONZALEZ,51,77.4
MARIAN GONZALEZ,1,0
CESAR OSCAR GONZALEZ,1,100
FILI GONZALEZ,16,25
JHONNY GONZALEZ,79,69.6
JOET GONZALEZ,25,56
LUCAS MATIAS GONZALEZ,1,0
ISRAEL GONZALEZ,22,39.1
CRISTIAN GONZALEZ UTELLO,4,0
NATHAN GORMAN,17,64.7
JORGE ANTONIO GOROZURRETA,5,60
ARSEN GOULAMIRIAN,26,69.2
JIMMY GOULD,14,0
MIKE GRABLE,20,40
HEROL GRAHAM,54,51.9
ADRIAN GRANADOS,30,45.2
ADRIAN GRANAT,17,82.4
RICHARD GRANT,36,13.9
MICHAEL GRANT,54,66.7
ROCKY GRAZIANO,83,62.7
HARRY GREB,297,16.1
MITCH GREEN,26,44.4
MONTELL GRIFFIN,59,50.8
SHERMAN GRIFFIN,24,52
EMILE GRIFFITH,111,20.5
YOUNG GRIFFO,33,24.2
CRAWFORD GRIMSLEY,27,74.1
SHELBY GROSS,21,59.1
GEORGE GROVES,32,62.5
JORGELINA GUANINI,12,8.3
LUIGGI JOSE GUANIPA,1,0
KARIM GUERFI,33,25.7
ROBIN ANDRES GUERRA,1,0
ROBERT GUERRERO,43,44.4
LUIS ALFREDO GUERRERO,9,22.2
BOBBY GUNN,30,61.3
ANDRES GUTIERREZ,42,59.1
ROGER GUTIERREZ,10,50
ARMANDO OSCAR GUTIERREZ BELLO,4,0
CARLOS GUZMAN,1,0
JONATHAN GUZMAN,25,88.5
OLEKSANDR GVOZDYK,18,77.8
MELINDA HABRAN,1,0
JUDIT HACHBOLD,14,7.1
STEFAN HAERTEL,19,10.5
ART HAFEY,65,55.4
MARVIN HAGLER,67,77.6
DAMON HAGUE,28,42.9
GENE HAIRSTON,63,38.1
ROSS HALE,33,54.5
RICHARD HALL,44,63.6
DON HALPIN,33,24.2
JOE HAM,15,33.3
NASEEM HAMED,37,83.8
CHRISTIAN HAMMER,31,48.4
DEVIN HANEY,24,57.7
HENRY HANK,97,41.2
NICK HANNING,9,44.4
JOHN HAREWOOD,15,26.7
JESUS ADRIAN HARO CAMPOS,1,0
TREY HARRIS,14,42.9
SIMON HARRIS,20,45
JAY HARRIS,11,27.3
TONY HARRISON,31,65.6
JESSE HART,29,72.4
LEN HARVEY,140,39.3
RICKY HATTON,48,66.7
MALIK HAWKINS,12,58.3
DAVID HAYE,32,81.3
ALVIN HAYES,33,78.8
THOMAS HEARNS,67,71.6
GERHARD HECHT,72,31.1
MARK HEFFRON,11,72.7
ANDY HEILMAN,52,42.3
ROBERT HELENIUS,33,57.6
JAMES HELWIG,24,62.5
MARIANO HENKEL PALACIOS,1,0
CLARENCE HENRY,41,45.2
JUAN HERALDEZ,15,56.3
JESUS ANTONIO HERNANDEZ,14,14.3
ANTONIO LOUIS HERNANDEZ,3,33.3
